           t              x              v              P              E             dE/E0
    0.000000      -0.500000       0.000000       0.420839       0.420839          0.000000
    0.010000      -0.500000       0.021391       0.420839       0.421068          0.000544
    0.020000      -0.499786       0.042782       0.420382       0.421297          0.001088
    0.030000      -0.499358       0.064157       0.419468       0.421526          0.001632
    0.040000      -0.498717       0.085500       0.418100       0.421755          0.002177
    0.050000      -0.497862       0.106794       0.416282       0.421985          0.002722
    0.060000      -0.496794       0.128024       0.414020       0.422215          0.003268
    0.070000      -0.495514       0.149173       0.411318       0.422444          0.003814
    0.080000      -0.494022       0.170226       0.408186       0.422674          0.004361
    0.090000      -0.492320       0.191168       0.404632       0.422904          0.004907
    0.100000      -0.490408       0.211983       0.400666       0.423135          0.005454
    0.110000      -0.488288       0.232656       0.396301       0.423365          0.006001
    0.120000      -0.485961       0.253172       0.391547       0.423595          0.006549
    0.130000      -0.483430       0.273518       0.386420       0.423826          0.007096
    0.140000      -0.480695       0.293679       0.380932       0.424056          0.007644
    0.150000      -0.477758       0.313641       0.375101       0.424286          0.008191
    0.160000      -0.474621       0.333392       0.368941       0.424517          0.008738
    0.170000      -0.471287       0.352919       0.362471       0.424747          0.009285
    0.180000      -0.467758       0.372210       0.355707       0.424977          0.009831
    0.190000      -0.464036       0.391252       0.348667       0.425206          0.010377
    0.200000      -0.460124       0.410035       0.341371       0.425436          0.010922
    0.210000      -0.456023       0.428548       0.333838       0.425665          0.011466
    0.220000      -0.451738       0.446781       0.326087       0.425893          0.012009
    0.230000      -0.447270       0.464723       0.318137       0.426121          0.012550
    0.240000      -0.442623       0.482367       0.310009       0.426348          0.013090
    0.250000      -0.437799       0.499702       0.301723       0.426575          0.013629
    0.260000      -0.432802       0.516723       0.293299       0.426800          0.014165
    0.270000      -0.427635       0.533420       0.284757       0.427025          0.014699
    0.280000      -0.422301       0.549788       0.276116       0.427249          0.015231
    0.290000      -0.416803       0.565819       0.267396       0.427472          0.015760
    0.300000      -0.411145       0.581509       0.258616       0.427693          0.016286
    0.310000      -0.405329       0.596853       0.249797       0.427913          0.016809
    0.320000      -0.399361       0.611845       0.240955       0.428132          0.017329
    0.330000      -0.393242       0.626481       0.232110       0.428349          0.017845
    0.340000      -0.386978       0.640759       0.223279       0.428564          0.018357
    0.350000      -0.380570       0.654675       0.214479       0.428778          0.018865
    0.360000      -0.374023       0.668227       0.205727       0.428990          0.019368
    0.370000      -0.367341       0.681413       0.197039       0.429200          0.019867
    0.380000      -0.360527       0.694231       0.188430       0.429408          0.020362
    0.390000      -0.353585       0.706682       0.179915       0.429614          0.020851
    0.400000      -0.346518       0.718763       0.171508       0.429818          0.021335
    0.410000      -0.339330       0.730476       0.163222       0.430019          0.021813
    0.420000      -0.332025       0.741821       0.155069       0.430218          0.022286
    0.430000      -0.324607       0.752798       0.147062       0.430415          0.022753
    0.440000      -0.317079       0.763409       0.139212       0.430609          0.023214
    0.450000      -0.309445       0.773655       0.131529       0.430800          0.023668
    0.460000      -0.301709       0.783539       0.124022       0.430988          0.024117
    0.470000      -0.293873       0.793063       0.116700       0.431174          0.024558
    0.480000      -0.285943       0.802229       0.109572       0.431357          0.024993
    0.490000      -0.277920       0.811041       0.102644       0.431538          0.025422
    0.500000      -0.269810       0.819501       0.095924       0.431715          0.025843
    0.510000      -0.261615       0.827614       0.089417       0.431889          0.026257
    0.520000      -0.253339       0.835383       0.083128       0.432061          0.026664
    0.530000      -0.244985       0.842812       0.077063       0.432229          0.027064
    0.540000      -0.236557       0.849905       0.071225       0.432394          0.027457
    0.550000      -0.228058       0.856667       0.065617       0.432556          0.027842
    0.560000      -0.219491       0.863103       0.060242       0.432715          0.028220
    0.570000      -0.210860       0.869217       0.055103       0.432871          0.028591
    0.580000      -0.202168       0.875013       0.050200       0.433024          0.028954
    0.590000      -0.193418       0.880499       0.045535       0.433174          0.029310
    0.600000      -0.184613       0.885677       0.041109       0.433320          0.029658
    0.610000      -0.175756       0.890554       0.036921       0.433464          0.029999
    0.620000      -0.166850       0.895136       0.032970       0.433604          0.030332
    0.630000      -0.157899       0.899427       0.029257       0.433741          0.030658
    0.640000      -0.148905       0.903433       0.025780       0.433876          0.030977
    0.650000      -0.139870       0.907160       0.022537       0.434007          0.031288
    0.660000      -0.130799       0.910613       0.019527       0.434135          0.031592
    0.670000      -0.121693       0.913798       0.016746       0.434260          0.031889
    0.680000      -0.112555       0.916721       0.014193       0.434382          0.032179
    0.690000      -0.103388       0.919388       0.011864       0.434501          0.032462
    0.700000      -0.094194       0.921803       0.009756       0.434617          0.032738
    0.710000      -0.084976       0.923974       0.007866       0.434730          0.033007
    0.720000      -0.075736       0.925905       0.006190       0.434840          0.033269
    0.730000      -0.066477       0.927602       0.004725       0.434948          0.033525
    0.740000      -0.057201       0.929072       0.003465       0.435053          0.033774
    0.750000      -0.047910       0.930318       0.002408       0.435155          0.034016
    0.760000      -0.038607       0.931348       0.001549       0.435254          0.034252
    0.770000      -0.029293       0.932166       0.000884       0.435351          0.034482
    0.780000      -0.019972       0.932778       0.000407       0.435445          0.034706
    0.790000      -0.010644       0.933190       0.000115       0.435536          0.034923
    0.800000      -0.001312       0.933406       0.000002       0.435625          0.035135
    0.810000       0.008022       0.933433       0.000064       0.435712          0.035341
    0.820000       0.017356       0.933274       0.000296       0.435796          0.035541
    0.830000       0.026689       0.932936       0.000694       0.435878          0.035736
    0.840000       0.036018       0.932423       0.001252       0.435958          0.035925
    0.850000       0.045343       0.931741       0.001965       0.436035          0.036109
    0.860000       0.054660       0.930893       0.002829       0.436111          0.036288
    0.870000       0.063969       0.929886       0.003840       0.436184          0.036462
    0.880000       0.073268       0.928723       0.004991       0.436255          0.036630
    0.890000       0.082555       0.927410       0.006279       0.436324          0.036794
    0.900000       0.091829       0.925951       0.007698       0.436391          0.036954
    0.910000       0.101089       0.924350       0.009244       0.436456          0.037108
    0.920000       0.110332       0.922612       0.010913       0.436519          0.037259
    0.930000       0.119558       0.920741       0.012699       0.436581          0.037405
    0.940000       0.128766       0.918741       0.014597       0.436640          0.037547
    0.950000       0.137953       0.916617       0.016605       0.436698          0.037684
    0.960000       0.147119       0.914372       0.018717       0.436755          0.037818
    0.970000       0.156263       0.912010       0.020928       0.436809          0.037948
    0.980000       0.165383       0.909535       0.023235       0.436862          0.038074
    0.990000       0.174478       0.906951       0.025634       0.436914          0.038197
    1.000000       0.183548       0.904262       0.028119       0.436964          0.038316
    1.010000       0.192591       0.901471       0.030688       0.437013          0.038431
    1.020000       0.201605       0.898581       0.033336       0.437060          0.038544
    1.030000       0.210591       0.895596       0.036060       0.437106          0.038653
    1.040000       0.219547       0.892519       0.038855       0.437151          0.038759
    1.050000       0.228472       0.889354       0.041719       0.437194          0.038862
    1.060000       0.237366       0.886103       0.044647       0.437236          0.038962
    1.070000       0.246227       0.882770       0.047635       0.437277          0.039059
    1.080000       0.255055       0.879358       0.050682       0.437317          0.039154
    1.090000       0.263848       0.875869       0.053782       0.437355          0.039245
    1.100000       0.272607       0.872306       0.056934       0.437393          0.039335
    1.110000       0.281330       0.868673       0.060133       0.437429          0.039422
    1.120000       0.290017       0.864971       0.063377       0.437465          0.039506
    1.130000       0.298666       0.861204       0.066664       0.437500          0.039588
    1.140000       0.307278       0.857373       0.069989       0.437533          0.039668
    1.150000       0.315852       0.853482       0.073350       0.437566          0.039746
    1.160000       0.324387       0.849532       0.076745       0.437598          0.039822
    1.170000       0.332882       0.845526       0.080171       0.437629          0.039895
    1.180000       0.341337       0.841467       0.083626       0.437659          0.039967
    1.190000       0.349752       0.837356       0.087106       0.437688          0.040037
    1.200000       0.358126       0.833195       0.090610       0.437717          0.040105
    1.210000       0.366458       0.828987       0.094135       0.437745          0.040171
    1.220000       0.374748       0.824734       0.097679       0.437772          0.040236
    1.230000       0.382995       0.820436       0.101241       0.437799          0.040299
    1.240000       0.391199       0.816098       0.104817       0.437825          0.040361
    1.250000       0.399360       0.811719       0.108406       0.437850          0.040421
    1.260000       0.407477       0.807302       0.112006       0.437875          0.040479
    1.270000       0.415550       0.802849       0.115616       0.437899          0.040536
    1.280000       0.423579       0.798360       0.119232       0.437922          0.040592
    1.290000       0.431562       0.793839       0.122855       0.437945          0.040647
    1.300000       0.439501       0.789286       0.126481       0.437967          0.040700
    1.310000       0.447394       0.784703       0.130110       0.437989          0.040752
    1.320000       0.455241       0.780091       0.133740       0.438011          0.040803
    1.330000       0.463042       0.775452       0.137369       0.438032          0.040853
    1.340000       0.470796       0.770786       0.140997       0.438052          0.040902
    1.350000       0.478504       0.766096       0.144621       0.438072          0.040949
    1.360000       0.486165       0.761383       0.148240       0.438092          0.040996
    1.370000       0.493779       0.756647       0.151854       0.438111          0.041042
    1.380000       0.501345       0.751891       0.155460       0.438130          0.041087
    1.390000       0.508864       0.747114       0.159059       0.438149          0.041131
    1.400000       0.516335       0.742319       0.162648       0.438167          0.041174
    1.410000       0.523759       0.737506       0.166227       0.438185          0.041216
    1.420000       0.531134       0.732676       0.169795       0.438202          0.041258
    1.430000       0.538460       0.727831       0.173351       0.438219          0.041299
    1.440000       0.545739       0.722971       0.176893       0.438236          0.041339
    1.450000       0.552968       0.718097       0.180421       0.438253          0.041378
    1.460000       0.560149       0.713210       0.183935       0.438269          0.041417
    1.470000       0.567281       0.708311       0.187433       0.438285          0.041455
    1.480000       0.574365       0.703401       0.190914       0.438301          0.041493
    1.490000       0.581399       0.698481       0.194379       0.438317          0.041530
    1.500000       0.588383       0.693551       0.197826       0.438332          0.041566
    1.510000       0.595319       0.688612       0.201254       0.438347          0.041602
    1.520000       0.602205       0.683665       0.204663       0.438362          0.041637
    1.530000       0.609042       0.678710       0.208053       0.438377          0.041672
    1.540000       0.615829       0.673748       0.211422       0.438391          0.041706
    1.550000       0.622566       0.668781       0.214771       0.438405          0.041740
    1.560000       0.629254       0.663808       0.218099       0.438419          0.041774
    1.570000       0.635892       0.658829       0.221405       0.438433          0.041807
    1.580000       0.642480       0.653847       0.224689       0.438447          0.041839
    1.590000       0.649019       0.648860       0.227951       0.438460          0.041871
    1.600000       0.655508       0.643870       0.231189       0.438474          0.041903
    1.610000       0.661946       0.638878       0.234405       0.438487          0.041935
    1.620000       0.668335       0.633883       0.237596       0.438500          0.041966
    1.630000       0.674674       0.628886       0.240764       0.438513          0.041997
    1.640000       0.680963       0.623888       0.243908       0.438526          0.042027
    1.650000       0.687202       0.618888       0.247027       0.438539          0.042057
    1.660000       0.693390       0.613889       0.250122       0.438551          0.042087
    1.670000       0.699529       0.608889       0.253191       0.438564          0.042117
    1.680000       0.705618       0.603889       0.256235       0.438576          0.042146
    1.690000       0.711657       0.598889       0.259254       0.438588          0.042175
    1.700000       0.717646       0.593891       0.262247       0.438600          0.042204
    1.710000       0.723585       0.588894       0.265214       0.438612          0.042233
    1.720000       0.729474       0.583899       0.268156       0.438624          0.042261
    1.730000       0.735313       0.578905       0.271071       0.438636          0.042289
    1.740000       0.741102       0.573913       0.273960       0.438648          0.042317
    1.750000       0.746841       0.568924       0.276822       0.438660          0.042345
    1.760000       0.752530       0.563938       0.279658       0.438671          0.042372
    1.770000       0.758170       0.558955       0.282468       0.438683          0.042400
    1.780000       0.763759       0.553975       0.285250       0.438694          0.042427
    1.790000       0.769299       0.548998       0.288006       0.438706          0.042454
    1.800000       0.774789       0.544025       0.290736       0.438717          0.042481
    1.810000       0.780229       0.539055       0.293438       0.438728          0.042508
    1.820000       0.785620       0.534090       0.296113       0.438739          0.042534
    1.830000       0.790961       0.529129       0.298762       0.438751          0.042561
    1.840000       0.796252       0.524173       0.301383       0.438762          0.042587
    1.850000       0.801494       0.519221       0.303978       0.438773          0.042613
    1.860000       0.806686       0.514273       0.306545       0.438784          0.042639
    1.870000       0.811829       0.509331       0.309086       0.438795          0.042665
    1.880000       0.816922       0.504394       0.311599       0.438805          0.042691
    1.890000       0.821966       0.499461       0.314085       0.438816          0.042717
    1.900000       0.826960       0.494534       0.316545       0.438827          0.042743
    1.910000       0.831906       0.489613       0.318977       0.438838          0.042768
    1.920000       0.836802       0.484697       0.321383       0.438849          0.042794
    1.930000       0.841649       0.479786       0.323762       0.438859          0.042819
    1.940000       0.846447       0.474881       0.326114       0.438870          0.042844
    1.950000       0.851196       0.469982       0.328439       0.438880          0.042870
    1.960000       0.855895       0.465089       0.330737       0.438891          0.042895
    1.970000       0.860546       0.460202       0.333009       0.438902          0.042920
    1.980000       0.865148       0.455321       0.335254       0.438912          0.042945
    1.990000       0.869701       0.450446       0.337472       0.438923          0.042970
    2.000000       0.874206       0.445577       0.339664       0.438933          0.042995
    2.010000       0.878662       0.440714       0.341829       0.438944          0.043019
    2.020000       0.883069       0.435857       0.343968       0.438954          0.043044
    2.030000       0.887427       0.431007       0.346081       0.438964          0.043069
    2.040000       0.891737       0.426163       0.348167       0.438975          0.043094
    2.050000       0.895999       0.421325       0.350228       0.438985          0.043118
    2.060000       0.900212       0.416493       0.352262       0.438995          0.043143
    2.070000       0.904377       0.411668       0.354270       0.439006          0.043167
    2.080000       0.908494       0.406850       0.356253       0.439016          0.043192
    2.090000       0.912562       0.402037       0.358209       0.439026          0.043216
    2.100000       0.916583       0.397231       0.360140       0.439037          0.043241
    2.110000       0.920555       0.392432       0.362045       0.439047          0.043265
    2.120000       0.924479       0.387639       0.363925       0.439057          0.043289
    2.130000       0.928356       0.382852       0.365779       0.439067          0.043313
    2.140000       0.932184       0.378072       0.367608       0.439078          0.043338
    2.150000       0.935965       0.373298       0.369412       0.439088          0.043362
    2.160000       0.939698       0.368530       0.371191       0.439098          0.043386
    2.170000       0.943383       0.363769       0.372944       0.439108          0.043410
    2.180000       0.947021       0.359014       0.374673       0.439118          0.043434
    2.190000       0.950611       0.354265       0.376376       0.439128          0.043459
    2.200000       0.954154       0.349523       0.378055       0.439139          0.043483
    2.210000       0.957649       0.344787       0.379710       0.439149          0.043507
    2.220000       0.961097       0.340057       0.381339       0.439159          0.043531
    2.230000       0.964498       0.335333       0.382945       0.439169          0.043555
    2.240000       0.967851       0.330615       0.384526       0.439179          0.043579
    2.250000       0.971157       0.325904       0.386082       0.439189          0.043603
    2.260000       0.974416       0.321198       0.387615       0.439199          0.043627
    2.270000       0.977628       0.316499       0.389123       0.439209          0.043651
    2.280000       0.980793       0.311805       0.390608       0.439219          0.043675
    2.290000       0.983911       0.307118       0.392069       0.439229          0.043699
    2.300000       0.986982       0.302436       0.393506       0.439239          0.043723
    2.310000       0.990007       0.297760       0.394919       0.439250          0.043747
    2.320000       0.992984       0.293090       0.396309       0.439260          0.043770
    2.330000       0.995915       0.288426       0.397675       0.439270          0.043794
    2.340000       0.998799       0.283767       0.399018       0.439280          0.043818
    2.350000       1.001637       0.279114       0.400338       0.439290          0.043842
    2.360000       1.004428       0.274466       0.401634       0.439300          0.043866
    2.370000       1.007173       0.269824       0.402907       0.439310          0.043890
    2.380000       1.009871       0.265187       0.404158       0.439320          0.043914
    2.390000       1.012523       0.260555       0.405385       0.439330          0.043937
    2.400000       1.015128       0.255929       0.406590       0.439340          0.043961
    2.410000       1.017688       0.251308       0.407772       0.439350          0.043985
    2.420000       1.020201       0.246692       0.408931       0.439360          0.044009
    2.430000       1.022668       0.242081       0.410068       0.439370          0.044033
    2.440000       1.025089       0.237475       0.411183       0.439380          0.044056
    2.450000       1.027463       0.232874       0.412275       0.439390          0.044080
    2.460000       1.029792       0.228278       0.413345       0.439400          0.044104
    2.470000       1.032075       0.223686       0.414392       0.439410          0.044128
    2.480000       1.034312       0.219100       0.415418       0.439420          0.044152
    2.490000       1.036503       0.214517       0.416421       0.439430          0.044175
    2.500000       1.038648       0.209940       0.417403       0.439440          0.044199
    2.510000       1.040747       0.205366       0.418362       0.439450          0.044223
    2.520000       1.042801       0.200797       0.419300       0.439460          0.044247
    2.530000       1.044809       0.196233       0.420216       0.439470          0.044270
    2.540000       1.046771       0.191672       0.421111       0.439480          0.044294
    2.550000       1.048688       0.187116       0.421984       0.439490          0.044318
    2.560000       1.050559       0.182564       0.422835       0.439500          0.044342
    2.570000       1.052385       0.178015       0.423665       0.439510          0.044365
    2.580000       1.054165       0.173470       0.424474       0.439520          0.044389
    2.590000       1.055900       0.168930       0.425261       0.439530          0.044413
    2.600000       1.057589       0.164392       0.426028       0.439540          0.044437
    2.610000       1.059233       0.159859       0.426773       0.439550          0.044460
    2.620000       1.060831       0.155329       0.427496       0.439560          0.044484
    2.630000       1.062385       0.150802       0.428199       0.439570          0.044508
    2.640000       1.063893       0.146279       0.428881       0.439580          0.044532
    2.650000       1.065356       0.141758       0.429542       0.439590          0.044555
    2.660000       1.066773       0.137241       0.430182       0.439600          0.044579
    2.670000       1.068146       0.132727       0.430802       0.439610          0.044603
    2.680000       1.069473       0.128216       0.431400       0.439620          0.044627
    2.690000       1.070755       0.123708       0.431978       0.439630          0.044650
    2.700000       1.071992       0.119203       0.432535       0.439640          0.044674
    2.710000       1.073184       0.114700       0.433072       0.439650          0.044698
    2.720000       1.074331       0.110200       0.433588       0.439660          0.044721
    2.730000       1.075433       0.105702       0.434083       0.439670          0.044745
    2.740000       1.076490       0.101207       0.434558       0.439680          0.044769
    2.750000       1.077502       0.096714       0.435013       0.439690          0.044793
    2.760000       1.078469       0.092223       0.435447       0.439700          0.044816
    2.770000       1.079392       0.087734       0.435861       0.439710          0.044840
    2.780000       1.080269       0.083247       0.436255       0.439720          0.044864
    2.790000       1.081101       0.078762       0.436628       0.439730          0.044887
    2.800000       1.081889       0.074279       0.436981       0.439740          0.044911
    2.810000       1.082632       0.069798       0.437314       0.439750          0.044935
    2.820000       1.083330       0.065318       0.437626       0.439760          0.044959
    2.830000       1.083983       0.060840       0.437919       0.439770          0.044982
    2.840000       1.084591       0.056364       0.438191       0.439780          0.045006
    2.850000       1.085155       0.051888       0.438443       0.439790          0.045030
    2.860000       1.085674       0.047414       0.438676       0.439800          0.045053
    2.870000       1.086148       0.042941       0.438888       0.439810          0.045077
    2.880000       1.086577       0.038469       0.439080       0.439820          0.045101
    2.890000       1.086962       0.033998       0.439252       0.439829          0.045125
    2.900000       1.087302       0.029528       0.439404       0.439839          0.045148
    2.910000       1.087597       0.025058       0.439535       0.439849          0.045172
    2.920000       1.087848       0.020590       0.439647       0.439859          0.045196
    2.930000       1.088054       0.016121       0.439739       0.439869          0.045219
    2.940000       1.088215       0.011654       0.439811       0.439879          0.045243
    2.950000       1.088332       0.007186       0.439864       0.439889          0.045267
    2.960000       1.088403       0.002719       0.439896       0.439899          0.045291
    2.970000       1.088431      -0.001748       0.439908       0.439909          0.045314
    2.980000       1.088413      -0.006215       0.439900       0.439919          0.045338
    2.990000       1.088351      -0.010682       0.439872       0.439929          0.045362
    3.000000       1.088244      -0.015149       0.439825       0.439939          0.045385
    3.010000       1.088093      -0.019616       0.439757       0.439949          0.045409
    3.020000       1.087897      -0.024084       0.439669       0.439959          0.045433
    3.030000       1.087656      -0.028552       0.439562       0.439969          0.045457
    3.040000       1.087370      -0.033021       0.439434       0.439979          0.045480
    3.050000       1.087040      -0.037490       0.439286       0.439989          0.045504
    3.060000       1.086665      -0.041960       0.439119       0.439999          0.045528
    3.070000       1.086245      -0.046431       0.438931       0.440009          0.045551
    3.080000       1.085781      -0.050903       0.438724       0.440019          0.045575
    3.090000       1.085272      -0.055375       0.438496       0.440029          0.045599
    3.100000       1.084718      -0.059849       0.438248       0.440039          0.045622
    3.110000       1.084120      -0.064324       0.437980       0.440049          0.045646
    3.120000       1.083477      -0.068801       0.437692       0.440059          0.045670
    3.130000       1.082789      -0.073279       0.437384       0.440069          0.045694
    3.140000       1.082056      -0.077758       0.437056       0.440079          0.045717
    3.150000       1.081278      -0.082239       0.436707       0.440089          0.045741
    3.160000       1.080456      -0.086722       0.436339       0.440099          0.045765
    3.170000       1.079589      -0.091206       0.435950       0.440109          0.045788
    3.180000       1.078677      -0.095692       0.435540       0.440119          0.045812
    3.190000       1.077720      -0.100181       0.435111       0.440129          0.045836
    3.200000       1.076718      -0.104671       0.434661       0.440139          0.045859
    3.210000       1.075671      -0.109164       0.434190       0.440149          0.045883
    3.220000       1.074580      -0.113658       0.433700       0.440159          0.045907
    3.230000       1.073443      -0.118156       0.433188       0.440169          0.045931
    3.240000       1.072261      -0.122655       0.432656       0.440179          0.045954
    3.250000       1.071035      -0.127157       0.432104       0.440189          0.045978
    3.260000       1.069763      -0.131662       0.431531       0.440199          0.046002
    3.270000       1.068447      -0.136170       0.430937       0.440209          0.046025
    3.280000       1.067085      -0.140680       0.430323       0.440219          0.046049
    3.290000       1.065678      -0.145194       0.429688       0.440228          0.046073
    3.300000       1.064226      -0.149710       0.429032       0.440238          0.046096
    3.310000       1.062729      -0.154229       0.428355       0.440248          0.046120
    3.320000       1.061187      -0.158752       0.427657       0.440258          0.046144
    3.330000       1.059599      -0.163278       0.426939       0.440268          0.046167
    3.340000       1.057967      -0.167807       0.426199       0.440278          0.046191
    3.350000       1.056288      -0.172340       0.425438       0.440288          0.046215
    3.360000       1.054565      -0.176876       0.424656       0.440298          0.046239
    3.370000       1.052796      -0.181416       0.423852       0.440308          0.046262
    3.380000       1.050982      -0.185960       0.423028       0.440318          0.046286
    3.390000       1.049123      -0.190508       0.422182       0.440328          0.046310
    3.400000       1.047217      -0.195059       0.421314       0.440338          0.046333
    3.410000       1.045267      -0.199615       0.420425       0.440348          0.046357
    3.420000       1.043271      -0.204174       0.419515       0.440358          0.046381
    3.430000       1.041229      -0.208738       0.418582       0.440368          0.046405
    3.440000       1.039142      -0.213306       0.417628       0.440378          0.046428
    3.450000       1.037009      -0.217878       0.416653       0.440388          0.046452
    3.460000       1.034830      -0.222455       0.415655       0.440398          0.046476
    3.470000       1.032605      -0.227036       0.414635       0.440408          0.046499
    3.480000       1.030335      -0.231622       0.413594       0.440418          0.046523
    3.490000       1.028019      -0.236212       0.412530       0.440428          0.046547
    3.500000       1.025656      -0.240807       0.411444       0.440438          0.046571
    3.510000       1.023248      -0.245407       0.410336       0.440448          0.046594
    3.520000       1.020794      -0.250012       0.409205       0.440458          0.046618
    3.530000       1.018294      -0.254622       0.408052       0.440468          0.046642
    3.540000       1.015748      -0.259236       0.406876       0.440478          0.046666
    3.550000       1.013156      -0.263856       0.405678       0.440488          0.046689
    3.560000       1.010517      -0.268481       0.404457       0.440498          0.046713
    3.570000       1.007832      -0.273111       0.403213       0.440508          0.046737
    3.580000       1.005101      -0.277747       0.401946       0.440518          0.046761
    3.590000       1.002324      -0.282388       0.400657       0.440528          0.046785
    3.600000       0.999500      -0.287034       0.399344       0.440538          0.046808
    3.610000       0.996629      -0.291686       0.398008       0.440548          0.046832
    3.620000       0.993713      -0.296344       0.396648       0.440558          0.046856
    3.630000       0.990749      -0.301007       0.395266       0.440568          0.046880
    3.640000       0.987739      -0.305675       0.393859       0.440578          0.046904
    3.650000       0.984682      -0.310350       0.392430       0.440588          0.046928
    3.660000       0.981579      -0.315030       0.390976       0.440598          0.046951
    3.670000       0.978429      -0.319716       0.389499       0.440608          0.046975
    3.680000       0.975231      -0.324408       0.387998       0.440618          0.046999
    3.690000       0.971987      -0.329106       0.386473       0.440628          0.047023
    3.700000       0.968696      -0.333810       0.384924       0.440639          0.047047
    3.710000       0.965358      -0.338520       0.383351       0.440649          0.047071
    3.720000       0.961973      -0.343236       0.381753       0.440659          0.047095
    3.730000       0.958541      -0.347958       0.380131       0.440669          0.047119
    3.740000       0.955061      -0.352686       0.378485       0.440679          0.047143
    3.750000       0.951534      -0.357421       0.376814       0.440689          0.047167
    3.760000       0.947960      -0.362162       0.375119       0.440699          0.047191
    3.770000       0.944338      -0.366909       0.373398       0.440709          0.047215
    3.780000       0.940669      -0.371662       0.371653       0.440719          0.047239
    3.790000       0.936953      -0.376422       0.369883       0.440729          0.047263
    3.800000       0.933188      -0.381188       0.368088       0.440740          0.047287
    3.810000       0.929377      -0.385960       0.366267       0.440750          0.047312
    3.820000       0.925517      -0.390739       0.364422       0.440760          0.047336
    3.830000       0.921610      -0.395524       0.362551       0.440770          0.047360
    3.840000       0.917654      -0.400315       0.360654       0.440780          0.047384
    3.850000       0.913651      -0.405113       0.358732       0.440791          0.047409
    3.860000       0.909600      -0.409917       0.356785       0.440801          0.047433
    3.870000       0.905501      -0.414728       0.354812       0.440811          0.047457
    3.880000       0.901354      -0.419545       0.352813       0.440821          0.047482
    3.890000       0.897158      -0.424368       0.350788       0.440832          0.047506
    3.900000       0.892914      -0.429198       0.348737       0.440842          0.047531
    3.910000       0.888622      -0.434034       0.346660       0.440852          0.047555
    3.920000       0.884282      -0.438876       0.344557       0.440863          0.047580
    3.930000       0.879893      -0.443725       0.342427       0.440873          0.047604
    3.940000       0.875456      -0.448580       0.340272       0.440884          0.047629
    3.950000       0.870970      -0.453441       0.338090       0.440894          0.047654
    3.960000       0.866436      -0.458308       0.335881       0.440904          0.047679
    3.970000       0.861853      -0.463182       0.333646       0.440915          0.047704
    3.980000       0.857221      -0.468061       0.331385       0.440925          0.047729
    3.990000       0.852540      -0.472947       0.329097       0.440936          0.047754
    4.000000       0.847811      -0.477838       0.326782       0.440946          0.047779
    4.010000       0.843033      -0.482735       0.324440       0.440957          0.047804
    4.020000       0.838205      -0.487638       0.322072       0.440968          0.047829
    4.030000       0.833329      -0.492547       0.319677       0.440978          0.047855
    4.040000       0.828403      -0.497462       0.317255       0.440989          0.047880
    4.050000       0.823429      -0.502382       0.314806       0.441000          0.047906
    4.060000       0.818405      -0.507307       0.312330       0.441011          0.047931
    4.070000       0.813332      -0.512238       0.309828       0.441021          0.047957
    4.080000       0.808209      -0.517174       0.307298       0.441032          0.047983
    4.090000       0.803038      -0.522115       0.304741       0.441043          0.048009
    4.100000       0.797817      -0.527061       0.302158       0.441054          0.048035
    4.110000       0.792546      -0.532011       0.299547       0.441065          0.048061
    4.120000       0.787226      -0.536966       0.296910       0.441076          0.048087
    4.130000       0.781856      -0.541926       0.294246       0.441088          0.048114
    4.140000       0.776437      -0.546890       0.291554       0.441099          0.048141
    4.150000       0.770968      -0.551858       0.288836       0.441110          0.048167
    4.160000       0.765449      -0.556830       0.286091       0.441121          0.048194
    4.170000       0.759881      -0.561806       0.283320       0.441133          0.048221
    4.180000       0.754263      -0.566785       0.280522       0.441144          0.048249
    4.190000       0.748595      -0.571767       0.277697       0.441156          0.048276
    4.200000       0.742878      -0.576753       0.274845       0.441167          0.048304
    4.210000       0.737110      -0.581741       0.271968       0.441179          0.048331
    4.220000       0.731293      -0.586732       0.269064       0.441191          0.048359
    4.230000       0.725425      -0.591725       0.266134       0.441203          0.048388
    4.240000       0.719508      -0.596720       0.263177       0.441215          0.048416
    4.250000       0.713541      -0.601716       0.260195       0.441227          0.048445
    4.260000       0.707524      -0.606714       0.257188       0.441239          0.048474
    4.270000       0.701457      -0.611713       0.254155       0.441251          0.048503
    4.280000       0.695339      -0.616713       0.251096       0.441264          0.048532
    4.290000       0.689172      -0.621713       0.248013       0.441276          0.048562
    4.300000       0.682955      -0.626713       0.244904       0.441289          0.048592
    4.310000       0.676688      -0.631712       0.241771       0.441301          0.048622
    4.320000       0.670371      -0.636711       0.238614       0.441314          0.048653
    4.330000       0.664004      -0.641708       0.235433       0.441327          0.048684
    4.340000       0.657587      -0.646704       0.232227       0.441340          0.048715
    4.350000       0.651120      -0.651697       0.228999       0.441354          0.048747
    4.360000       0.644603      -0.656688       0.225748       0.441367          0.048779
    4.370000       0.638036      -0.661676       0.222473       0.441381          0.048811
    4.380000       0.631419      -0.666660       0.219177       0.441395          0.048844
    4.390000       0.624752      -0.671639       0.215859       0.441409          0.048877
    4.400000       0.618036      -0.676614       0.212519       0.441423          0.048910
    4.410000       0.611270      -0.681584       0.209159       0.441437          0.048944
    4.420000       0.604454      -0.686548       0.205778       0.441452          0.048979
